Index,City,Country,Latitude,Longitude,Temperature (°F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Kapaa,United States,22.0947394,-159.3245926,74.44,82,74,5.01
1,Bagdarin,Russia,54.4479459,113.5909765,60.62,65,100,4.05
2,Hobart,Australia,-42.8826055,147.3257196,53.35,77,40,13.8
3,Grand River South East,Mauritius,-20.2888094,57.78141199999999,73.78,68,75,12.66
4,Grindavik,Iceland,63.8441808,-22.4383818,50.32,100,100,17.27
5,Vaitupu,Wallis and Futuna,-13.2308863,-176.1917035,82.85,72,95,15.48
6,Bermeo,Spain,43.4188248,-2.7269756,82.78,61,20,14.97
7,Port Hardy,Canada,50.7207083,-127.4968729,51.75,87,100,2.3
8,Ostrovnoy,Russia,68.0603191,39.4740385,42.19,97,100,8.52
9,Rikitea,French Polynesia,-23.1223034,-134.9691543,72.41,73,100,13.51
10,Mataura,French Polynesia,-23.347523,-149.4860498,72.32,58,51,14.85
11,Tiarei,French Polynesia,-17.5391608,-149.3714069,73.42,72,30,24.9
12,Prince Rupert,Canada,54.3150367,-130.3208187,48.09,98,100,4.61
13,Nola,Central African Republic,3.5248736,16.0463837,84.85,55,62,4.45
14,Atuona,French Polynesia,-9.8028605,-139.0398069,78.17,74,46,17.18
15,Torbay,Canada,47.6580777,-52.7355238,63.43,78,75,23.02
16,Vaini,Tonga,-21.1935,-175.1751534,77.25,88,75,8.05
17,Ushuaia,Argentina,-54.8019121,-68.3029511,29.82,74,75,3.44
18,Taolanaro,Madagascar,-25.0225309,46.9853688,67.96,77,75,13.8
19,Ilulissat,Greenland,69.2198118,-51.0986032,38.46,66,88,7.27
20,Puerto Ayora,Ecuador,-0.7432918,-90.3156893,69.98,98,88,5.01
21,Piacabucu,Brazil,-10.405923,-36.431617,80.2,73,5,5.59
22,Andenes,Norway,69.31607989999999,16.1202284,50.02,87,75,11.5
23,Sao Filipe,Cape Verde,14.8951679,-24.4945636,74.44,88,54,6.04
24,Attawapiskat,Canada,52.9258846,-82.42889219999999,51.78,62,75,4.61
25,Busselton,Australia,-33.6516465,115.3473335,59.02,70,100,5.3
26,Hermanus,South Africa,-34.4092004,19.2504436,60.91,66,75,3.85
27,Pacific Grove,United States,36.6177374,-121.9166215,47.75,87,5,1.01
28,Esperance,Australia,-33.8613953,121.8912724,53.35,69,98,17.63
29,Abay,Kazakhstan,49.6324398,72.8771916,86.38,26,41,4.34
30,Punta Arenas,Chile,-53.1638329,-70.9170683,35.8,80,75,19.57
31,Bambous Virieux,Mauritius,-20.3438619,57.7636821,73.36,68,75,12.66
32,Vardo,Norway,70.3705875,31.1094377,42.87,93,100,11.5
33,Saskylakh,Russia,71.954308,114.119835,40.5,56,14,15.35
34,Hilo,United States,19.7216023,-155.084887,70.07,80,75,8.05
35,Thompson,Canada,55.7449251,-97.8508715,61.02,72,75,2.3
36,Tasiilaq,Greenland,65.6134561,-37.6335696,42.51,76,43,1.36
37,Ilinsko-Podomskoye,Russia,61.1160006,47.9670929,62.28,55,100,4.12
38,Tongren,China,27.7315599,109.18962,74.03,97,100,1.72
39,Kuche,China,41.7173737,82.9621102,80.53,23,100,18.3
40,Pop,Uzbekistan,40.8814636,71.1032591,91.69,24,48,10.09
41,Castro,Chile,-42.4801402,-73.7624137,33.91,93,0,3.44
42,Dikson,Russia,73.507735,80.53103019999999,38.35,75,100,10.36
43,Blackwater,Australia,-23.5745988,148.887168,56.82,71,19,6.31
44,Hervey Bay,Australia,-25.2881539,152.7676633,60.15,89,13,7
45,Jamestown,"Saint Helena, Ascension and Tristan da Cunha",-15.9286343,-5.7151749,69.33,66,98,21.45
46,Ponta Delgada,Portugal,37.7394207,-25.6686725,68.72,64,40,16.11
47,Okhansk,Russia,57.71667189999999,55.3972152,68.02,58,50,7.38
48,Bredasdorp,South Africa,-34.5385222,20.0568771,59.14,62,84,7.92
49,Constitucion,Chile,-35.33330000000001,-72.41669999999999,51.19,57,100,3.53
50,Qaanaaq,Greenland,77.4670434,-69.2284828,35.08,85,41,6.46
51,Marechal Floriano,Brazil,-20.4113507,-40.6760342,67.51,90,93,4.74
52,Albany,Australia,-35.0268148,117.8837114,55.96,69,90,11.95
53,Kavaratti,India,10.5593204,72.63581340000002,82.53,75,100,13.27
54,Lorengau,Papua New Guinea,-2.0298424,147.2743657,80.51,73,14,5.95
55,Namibe,Angola,-15.1978317,12.1575544,68.52,64,75,18.41
56,Bluff,New Zealand,-46.597299,168.3302209,47.28,77,100,9.51
57,Yulara,Australia,-25.237979,130.9856199,63.75,29,100,5.95
58,Umm Kaddadah,Sudan,13.60375,26.68413,98.17,12,100,6.38
59,Adrar,Algeria,28.0174403,-0.2642497,109.6,6,0,3.71
60,Padang,Indonesia,-0.9470831999999999,100.417181,74.71,92,100,1.25
61,Meulaboh,Indonesia,4.1436951,96.12811459999999,77.88,84,100,4.54
62,Valeni,Romania,46.7464101,27.7624971,81.3,35,0,4.5
63,Pierre,United States,44.36678759999999,-100.3537522,81.95,55,6,20
64,Airai,Palau,7.396611799999999,134.5690225,81.57,73,87,3.56
65,Dunedin,New Zealand,-45.8795455,170.5005957,44.78,87,100,10.07
66,Boueni,Mayotte,-12.9102083,45.0806283,82.18,72,13,12.86
67,Martinsburg,United States,39.4562099,-77.96388689999999,62.24,54,0,12.19
68,Pascagoula,United States,30.3657552,-88.5561272,80.82,81,3,7.9
69,A,Norway,67.88056139999999,12.9826433,53.82,77,18,5.91
70,Santo Anastacio,Brazil,-21.9778518,-51.6542973,58.86,62,0,9.19
71,Teknaf,Bangladesh,20.857776,92.29756189999999,79.79,84,100,5.88
72,Tabory,Russia,58.528389,64.5532379,68.11,85,55,5.35
73,Tabas,Iran,33.5961005,56.9278993,105.96,11,0,4.61
74,Sivaki,Russia,52.631082,126.747264,56.48,76,6,5.61
75,Clyde River,Canada,70.47636500000002,-68.601265,44.58,61,20,16.11
76,Whitehorse,Canada,60.7211871,-135.0568449,49.19,57,40,11.99
77,Lebu,Chile,-37.6080479,-73.6514907,49.37,88,100,10.49
78,Hithadhoo,Maldives,-0.6094628,73.0907,83.89,66,100,4.7
79,Naze,Japan,36.204824,138.252924,63.63,95,100,4.47
80,Yellowknife,Canada,62.4539717,-114.3717886,59.2,63,20,6.91
81,Hami,China,42.8185499,93.5153799,88.52,11,100,4.23
82,Luderitz,Namibia,-26.6420382,15.1639082,63.05,61,15,18.37
83,Barrow,United States,71.29055559999999,-156.7886111,34.18,80,32,7.2
84,Traralgon,Australia,-38.1940197,146.5336107,47.32,95,100,0.92
85,Tanete,Indonesia,-5.337832,120.130402,70.63,92,95,1.5
86,Colotlan,Mexico,22.1126492,-103.2692337,67.03,65,23,2.98
87,Opuwo,Namibia,-18.0580139,13.8361177,78.67,17,0,11.56
88,Zhigansk,Russia,66.75206399999999,123.394112,49.05,58,100,13.22
89,Chokurdakh,Russia,70.622169,147.916168,54.55,96,100,10.45
90,Itarema,Brazil,-2.9242369,-39.9129274,82.44,70,84,14.63
91,Rocha,Uruguay,-34.4809769,-54.3307438,50.61,55,66,10.09
92,Vila Franca Do Campo,Portugal,37.7157269,-25.4345063,68.41,72,52,12.71
93,Nizhneyansk,Russia,71.450058,136.1122279,40.37,86,100,21.41
94,Palauig,Philippines,15.4522102,119.9547522,82.11,79,11,2.1
95,Nanortalik,Greenland,60.1424955,-45.239495,43.05,95,100,9.06
96,Bandarbeyla,Somalia,9.498579999999999,50.8105261,88.09,50,99,28.3
97,Wageningen,Suriname,5.767457500000001,-56.6878653,75,92,92,3.06
98,Vestmannaeyjar,Iceland,63.437679,-20.267321,49.53,97,100,7.92
99,Talaya,Russia,61.1317561,152.3880785,47.48,75,93,2.04
100,Port Alfred,South Africa,-33.5864065,26.8851448,63.27,64,78,8.01
101,Amderma,Russia,69.751221,61.66369599999999,37.83,94,96,11.36
102,Sur,Oman,22.5652759,59.5066376,94.46,54,0,2.48
103,Upernavik,Greenland,72.7862881,-56.1375527,33.94,87,32,6.64
104,Butaritari,Kiribati,3.1166667,172.8,80.78,79,21,7.9
105,Kholm,Poland,51.1431232,23.4711986,82.42,52,1,12.75
106,Odienne,Ivory Coast,9.518875399999999,-7.557223100000001,84.43,59,98,2.75
107,Beringovskiy,Russia,63.0611249,179.3485395,45.16,87,100,13.53
108,Tabou,Ivory Coast,4.427919699999999,-7.357057599999999,80.71,73,83,6.26
109,San Cristobal,Ecuador,-0.8674715,-89.436391,67.93,86,100,10.98
110,Kavieng,Papua New Guinea,-2.5781167,150.8086082,81.39,77,43,6.82
111,Carnarvon,Australia,-24.8838363,113.6570584,67.98,71,1,11.92
112,East London,South Africa,-33.0198434,27.903905,65.39,52,0,12.66
113,Bonfim,Brazil,-20.3271154,-44.2408075,68.4,64,27,7.27
114,Hailey,United States,43.51962880000001,-114.3153245,41.83,76,0,5.75
115,Mareeba,Australia,-16.9973592,145.423065,62.4,96,3,2.8
116,Cape Town,South Africa,-33.9248685,18.4240553,61.41,56,20,10.36
117,Oranjemund,Namibia,-28.5597111,16.4346979,62.53,52,60,14.27
118,Casino,Australia,-28.8583975,153.0469677,57.54,95,89,3.06
119,Piriyapatna,India,12.3383636,76.0965379,71.67,89,100,9.55
120,Lasa,China,29.6526199,91.13775,65.26,44,46,6.6
121,Namatanai,Papua New Guinea,-3.6692081,152.4063941,79,81,31,3.53
122,Narsaq,Greenland,60.9129622,-46.050483,43.43,97,100,1.3
123,Lakatoro,Vanuatu,-16.1001798,167.4164063,77.52,81,98,5.19
124,Tilichiki,Russia,60.43333299999999,166.048611,45.84,86,100,3.74
125,Hobyo,Somalia,5.3515922,48.5249751,82.94,63,5,31.85
126,Georgetown,"Saint Helena, Ascension and Tristan da Cunha",-7.926222999999999,-14.4112011,77.56,75,62,17.4
127,Katsuura,Japan,35.1522272,140.3208833,71.73,88,100,16.96
128,Kinanah,Sudan,12.862807,30.217636,100.02,12,74,3.76
129,Niksic,Montenegro,42.7804735,18.9561661,79.61,43,0,3.09
130,Port Elizabeth,South Africa,-33.9608369,25.6022423,62.29,55,0,17.27
131,Bozhou,China,33.8446099,115.77931,90.81,30,74,7.56
132,Stokmarknes,Norway,68.56483829999999,14.9098717,55.26,67,75,9.22
133,Sitka,United States,57.05321929999999,-135.3345513,50.41,83,100,3.56
134,Chuy,Uruguay,-33.692754,-53.4552817,47.66,53,14,9.22
135,Bethel,United States,60.79425899999999,-161.7694402,46.72,100,20,3.44
136,Saint-Philippe,Réunion,-21.3595223,55.7665126,74.79,71,3,13.13
137,Black River,Jamaica,18.0335359,-77.85673799999999,81.55,70,100,11.16
138,Chifeng,China,42.2585999,118.88894,80.04,60,1,14.27
139,Broome,Australia,-17.96182,122.236998,75.15,78,100,8.05
140,Umzimvubu,South Africa,-30.7781755,28.9528645,58.28,58,19,9.8
141,Flin Flon,Canada,54.7657685,-101.8762148,58.59,88,40,3.44
142,Midland,United States,31.9973456,-102.0779146,76.28,64,0,8.05
143,Huambo,Angola,-12.7739761,15.7468535,76.86,31,0,0
144,Basoko,DR Congo,1.2408277,23.611537,81.73,62,65,5.84
145,Orbetello,Italy,42.4396474,11.2124083,81.99,52,5,11.48
146,Sioux Lookout,Canada,50.0978321,-91.922038,57.38,67,75,9.22
147,Port Lincoln,Australia,-34.7226381,135.8597449,58.98,71,100,18.59
148,Haibowan,China,39.6918399,106.8226,84.63,25,93,16.8
149,Longlac,Canada,49.78166599999999,-86.534706,54.84,50,100,7.99
150,Tuktoyaktuk,Canada,69.445358,-133.034181,36.05,89,100,11.77
151,Korla,China,41.7264299,86.1736899,87.91,14,100,8.48
152,Khatanga,Russia,71.964027,102.440613,48.79,46,22,6.8
153,Kirando,Tanzania,-7.3697011,30.6234003,80.28,45,71,7.38
154,Mys Shmidta,Russia,68.8931114,-179.4125967,37.56,90,84,8.72
155,Castrovillari,Italy,39.8152678,16.1997438,82.18,34,84,7.45
156,Puerto Asis,Colombia,0.4985097,-76.4977428,67.69,99,100,1.66
157,Zyryanka,Russia,65.767376,150.841238,58.39,38,100,12.68
158,Manjacaze,Mozambique,-24.7057037,33.8801952,79.61,41,0,5.68
159,Palabuhanratu,Indonesia,-6.9889961,106.5523635,78.06,87,33,3.62
160,Pevek,Russia,69.7029321,170.3070329,39.42,79,100,2.91
161,Bang Krathum,Thailand,16.5909145,100.2992789,86.05,65,96,9.73
162,Bela,Pakistan,26.2189787,66.3140725,95.49,48,0,21.9
163,Mayo,Canada,63.59426199999999,-135.896492,51.8,62,20,3.44
164,Mar Del Plata,Argentina,-38.0054771,-57.5426106,37.44,81,0,11.5
165,Sinnamary,French Guiana,5.3746712,-52.9545991,75.7,92,100,7.23
166,Champerico,Guatemala,14.2974022,-91.9087026,73.96,86,98,9.73
167,Meadow Lake,Canada,54.1316746,-108.4280261,58.98,94,20,5.75
168,Makushino,Russia,55.2048967,67.24896799999999,74.3,66,61,9.4
169,Alofi,Niue,-19.0553711,-169.9178709,75.27,94,72,8.05
170,Weligama,Sri Lanka,5.9773782,80.4288487,80.6,80,82,8.7
171,Labytnangi,Russia,66.6557632,66.38983189999999,65.07,70,100,6.4
172,Thinadhoo,Maldives,0.531061,72.99772519999999,83.68,69,99,7.25
173,Scharding,Austria,48.46051,13.43268,90.46,50,6,3.27
174,Illoqqortoormiut,Greenland,70.48556909999999,-21.9628756,40.51,60,15,5.23
175,Waiouru,New Zealand,-39.4772357,175.6683591,36.84,96,100,5.3
176,Mahebourg,Mauritius,-20.4059505,57.7034222,73.89,68,75,12.66
177,Allahabad,India,25.4358011,81.846311,98.24,34,10,6.8
178,Campina Verde,Brazil,-19.5340345,-49.4807685,73.49,62,6,5.37
179,Ribeira Grande,Portugal,37.8210369,-25.5148137,68.25,64,40,16.11
180,Ancud,Chile,-41.8675003,-73.8276965,39.6,90,45,6.24
181,Zhemchuzhnyy,Russia,66.921944,32.209444,50.14,64,100,7.18
182,Tiksi,Russia,71.63748199999999,128.8644716,35.92,95,100,22.59
183,Gat,Libya,24.9640371,10.1759285,97.88,10,0,4.14
184,Hasaki,Japan,35.7600822,140.8092263,70.21,90,100,15.61
185,New Norfolk,Australia,-42.781144,147.0622665,51.55,79,100,4
186,Sentyabrskiy,Russia,60.49545690000001,72.20805969999999,77.97,38,5,6.17
187,Kodiak,United States,57.79000000000001,-152.4072222,49.51,81,100,6.91
188,San Quintin,Mexico,30.56087669999999,-115.9379302,58.77,84,0,6.46
189,Port Macquarie,Australia,-31.4580174,152.8974657,53.8,87,100,9.08
190,Salalah,Oman,17.0193843,54.11075049999999,84.45,81,91,10.09
191,Buchanan,Liberia,5.887246999999999,-10.0303723,82.4,66,58,8.03
192,Zaozhuang,China,34.8107099,117.32196,88.3,40,100,12.33
193,Kinna,Sweden,57.50984,12.6941321,62.6,54,100,8.14
194,Nantucket,United States,41.2834704,-70.099451,54.16,88,100,26.78
195,Cienfuegos,Cuba,22.1599753,-80.4437781,79.74,76,75,4.38
196,Axim,Ghana,4.8665091,-2.240888,82.45,67,100,4.85
197,High Level,Canada,58.50706640000001,-117.1403406,55.51,100,100,5.75
198,Krasnopavlivka,Ukraine,49.1382876,36.3203872,77.72,46,6,6.33
199,Deh Rawud,Afghanistan,32.640755,65.5707852,94.93,7,0,23.22
200,Bosobolo,DR Congo,4.1874673,19.8752578,75.47,84,99,2.73
201,Araouane,Mali,18.904265,-3.5275161,94.8,30,79,4.16
202,Avarua,Cook Islands,-21.2129007,-159.7823059,74.68,69,75,9.22
203,Garh Maharaja,Pakistan,30.8338234,71.9060471,97.72,32,0,2.66
204,Bahir Dar,Ethiopia,11.5742086,37.3613533,73.54,53,99,1.95
205,Port Moresby,Papua New Guinea,-9.443800399999999,147.1802671,78.1,83,20,5.75
206,Husavik,Iceland,66.0449706,-17.3383443,61.11,51,100,7.99
207,Oistins,Barbados,13.0705904,-59.54695439999999,84.38,65,75,20.71
208,Mitsamiouli,Comoros,-11.3871698,43.2980711,78.06,70,37,11.3
209,San Policarpo,Philippines,12.2046953,125.4781649,82.58,74,100,5.64
210,Fairbanks,United States,64.8400511,-147.7199756,50.7,90,0,4.61
211,Ankazoabo,Madagascar,-18.3181877,47.1118527,68.32,56,81,14.25
212,Scottsbluff,United States,41.8666341,-103.6671662,70.3,53,6,1.99
213,Akdepe,Turkmenistan,42.0531638,59.38455200000001,91.49,19,3,16.08
214,Seoul,South Korea,37.566535,126.9779692,73.2,83,75,4.61
215,Tiznit,Morocco,29.693392,-9.732156999999999,79.14,55,7,12.01
216,Vao,New Caledonia,-22.6658429,167.4960078,71.87,75,100,19.82
217,Ormara,Pakistan,30.375321,69.34511599999999,87.26,32,18,11.12
218,Geraldton,Australia,-28.7761346,114.611295,59.29,88,75,9.22
219,Jumla,Nepal,29.28892179999999,82.3017728,51.12,85,94,1.97
220,Montevideo,Uruguay,-34.9011127,-56.16453139999999,48.29,54,0,11.5
221,Djambala,Republic of the Congo,-2.5398781,14.7550108,85.01,39,87,2.06
222,Isangel,Vanuatu,-19.54172,169.2803499,65.43,94,100,2.3
223,Aklavik,Canada,68.219916,-135.007788,43.07,77,79,16.44
224,Berlevag,Norway,70.8580573,29.0858433,44.4,76,100,4.61
225,Puerto Ayacucho,Venezuela,5.6614718,-67.58277439999999,74.39,91,100,3.13
226,Tigil,Russia,57.779388,158.5752259,45.34,86,100,4.25
227,Bengkulu,Indonesia,-3.792845099999999,102.2607641,76.93,88,100,2.71
228,Arraial Do Cabo,Brazil,-22.9667613,-42.0277716,67.86,88,100,2.3
229,Hofn,Iceland,64.24970259999999,-15.2020076,57.22,72,0,3.44
230,Belushya Guba,Russia,71.53903389999999,52.33813689999999,37.58,77,100,21.43
231,Henties Bay,Namibia,-22.1134964,14.2832038,60.21,78,21,12.03
232,Avera,French Polynesia,-22.4783218,-151.3512437,73.17,64,78,17.74
233,Ventspils,Latvia,57.3937216,21.5647066,55.33,94,100,12.66
234,Olafsvik,Iceland,64.89604849999999,-23.7060263,50.14,97,100,13.69
235,La Rochelle,France,46.160329,-1.151139,73.53,73,40,13.8
236,Victoria,Seychelles,-4.619143,55.4513149,82.29,74,20,14.97
237,Caravelas,Brazil,-17.7336523,-39.265271,78.71,60,7,5.99
238,Sokolo,Mali,14.7384717,-6.118242899999999,90.1,43,20,6.82
239,Lena,Norway,60.6739876,10.8134211,66.51,27,39,2.17
240,Faanui,French Polynesia,-16.4867378,-151.7429125,78.73,78,6,22.5
241,Tuatapere,New Zealand,-46.1315913,167.6896869,44.42,89,94,1.86
242,Middle Island,Saint Kitts and Nevis,17.3348813,-62.80882510000001,82.94,65,20,14.97
243,Honiara,Solomon Islands,-9.4456381,159.9728999,76.46,88,8,3.62
244,Severo-Kurilsk,Russia,50.6683424,156.115192,47.05,98,100,1.77
245,Polovinnoye,Russia,54.78940859999999,65.9674842,69.94,73,93,7.18
246,Constantine,Algeria,36.3570052,6.639028199999999,95.72,17,0,11.5
247,Inhambane,Mozambique,-23.8662153,35.3826756,78.78,50,40,13.8
248,Tsihombe,Madagascar,-25.3168473,45.48630929999999,69.84,66,97,12.64
249,Saldanha,South Africa,-33.0276981,17.9176312,60.76,69,0,13.27
250,Kristiinankaupunki,Finland,62.2739353,21.3797701,51.55,89,100,15.99
251,Coquimbo,Chile,-29.9590009,-71.3389183,53.47,82,100,2.3
252,Mountain Home,United States,43.1329504,-115.6911975,47.68,61,0,17.27
253,Pando,Uruguay,-34.7117766,-55.963705,43.25,65,0,11.5
254,Mwene-Ditu,DR Congo,-7.009025599999999,23.4537973,88.84,22,25,2.77
255,Gamba,Gabon,-2.7404898,10.0303723,78.33,67,25,10.6
256,Yeppoon,Australia,-23.1335258,150.7374455,58.96,79,97,12.8
257,Kolpny,Russia,52.2264515,37.0361304,71.98,66,54,14.97
258,Pisco,Peru,-13.7134562,-76.1841701,53.28,87,75,5.75
259,Oda,Japan,36.204824,138.252924,63.63,95,100,4.47
260,Theologos,Greece,36.3804974,28.030962,80.58,65,20,19.57
261,Lagoa,Portugal,37.1356176,-8.4514359,72.7,68,2,14.25
262,Arman,Russia,59.6733284,150.1414857,46.13,96,100,4.54
263,Barentsburg,Svalbard and Jan Mayen,78.0648475,14.2334595,39.42,87,100,1.28
264,Hay River,Canada,60.816218,-115.7853653,50.02,81,75,4.61
265,Formosa,Argentina,-26.1857768,-58.1755669,46.38,81,0,8.05
266,Hualmay,Peru,-11.0883431,-77.61065119999999,62.4,78,19,7.52
267,Quatre Cocos,Mauritius,-20.201639,57.7743197,74.41,68,24,14.97
268,Longyearbyen,Svalbard and Jan Mayen,78.22317220000001,15.626723,41.14,81,75,9.22
269,Roebourne,Australia,-20.9596491,116.6081653,73.56,41,0,11.03
270,Marica,Brazil,-22.9160994,-42.819192,66.74,84,100,7
271,Najran,Saudi Arabia,17.5656036,44.2289441,103.17,7,45,14.03
272,Nioki,DR Congo,-2.7180891,17.6866471,88.66,41,100,2.82
273,Alexandria,Egypt,31.2000924,29.9187387,84.02,48,20,9.22
274,Capitan Bado,Paraguay,-23.2585481,-55.541359,50.63,66,100,7.11
275,Mersing,Malaysia,2.430917,103.8361151,80.47,83,40,4.61
276,Port Augusta,Australia,-32.4935661,137.7743496,52.03,70,5,12.26
277,Bartica,Guyana,6.4043217,-58.625825,75.33,90,60,4.03
278,Hearst,Canada,49.6880184,-83.66695519999999,48.42,49,100,6.96
279,Talnakh,Russia,69.5,88.39999999999999,60.73,26,100,6.35
280,Hirara,Japan,24.8218333,125.3137005,82.45,86,74,13.49
281,Petropavlovka,Russia,50.6083262,105.3109495,62.38,73,6,0.58
282,Maceio,Brazil,-9.6660417,-35.7352167,81.84,69,75,6.91
283,Nikolayevsk-Na-Amure,Russia,53.1500944,140.718478,47.16,97,26,3.89
284,Santa Cruz De Tenerife,Spain,28.4636296,-16.2518467,76.68,74,40,17.27
285,San Pedro,Bolivia,-16.5032267,-68.1349437,42.87,44,20,8.05
286,Severobaykalsk,Russia,55.627858,109.3149162,48.74,90,90,1.1
287,Turayf,Saudi Arabia,31.6660775,38.6634693,104.23,18,0,4.61
288,Vagamo,Norway,61.87517010000001,9.0966266,60.96,39,100,2.39
289,Cuencame,Mexico,24.8684207,-103.6972217,68.36,59,86,9.04
290,Xuddur,Somalia,4.1228001,43.88880959999999,86.41,35,99,22.35
291,Marawi,Sudan,18.4689363,31.8164031,108.1,9,89,11.61
292,Ginir,Ethiopia,7.1386715,40.7115639,75.13,40,54,17.05
293,Tazmalt,Algeria,36.3903818,4.3954971,103.08,12,0,9.82
294,Florianopolis,Brazil,-27.5948036,-48.5569286,58.21,83,75,6.91
295,Kawerau,New Zealand,-38.086578,176.7036392,46.31,81,100,1.99
296,Arvika,Sweden,59.6548534,12.592136,64.92,29,30,8.32
297,Leningradskiy,Russia,69.36833299999999,178.416667,43.18,85,91,5.79
298,Faya,Chad,17.9236623,19.1107114,107.49,27,0,6.91
299,Doha,Qatar,25.2854473,51.53103979999999,103.95,22,0,6.91
300,Rabo De Peixe,Portugal,37.8077543,-25.5829107,68.07,64,40,16.11
301,Cabo San Lucas,Mexico,22.8905327,-109.9167371,78.44,83,91,3
302,Richards Bay,South Africa,-28.7807276,32.0382856,70.99,68,13,13.91
303,Velsk,Russia,61.06376580000001,42.0991053,51.8,96,100,5.77
304,Waw,Sudan,7.7091884,27.9834738,89.1,42,100,7.2
305,Laguna,Brazil,-28.4816918,-48.7689145,57.13,72,5,10
306,Bathsheba,Barbados,13.2101681,-59.5253545,83.48,65,75,20.71
307,Asau,Tuvalu,-7.488305,178.6806639,82.63,72,9,13.44
308,Colac,Australia,-38.3410186,143.5854622,50.74,82,100,6.96
309,Hue,Vietnam,16.4637117,107.5908628,87.89,74,20,1.14
310,Les Cayes,Haiti,18.2042851,-73.7536695,82.17,69,55,8.03
311,Rypefjord,Norway,70.64124699999999,23.6720798,54.36,58,40,10.36
312,Biltine,Chad,14.5333333,20.9166667,98.2,23,29,4.79
313,Pangnirtung,Canada,66.1465578,-65.7012182,39.45,73,99,1.5
314,Provideniya,Russia,64.4031643,-173.2064559,49.98,67,5,6.51
315,Visby,Sweden,57.6348,18.29484,57.38,77,20,10.36
316,Luba,Equatorial Guinea,3.4590145,8.552874599999999,77.2,87,58,6.33
317,Ponta Do Sol,Cape Verde,17.2004826,-25.0925624,76.78,86,77,11.95
318,Mehamn,Norway,71.0357069,27.848941,44.55,81,100,8.05
319,San Jose,Guatemala,13.9824116,-90.8865834,78.69,83,75,0
320,Karauzyak,Uzbekistan,43.0174717,60.011507,86.43,22,0,17.83
321,Sabzevar,Iran,36.2151823,57.6678228,94.19,21,40,0
322,Idritsa,Russia,56.331666,28.8927247,61.59,55,100,11.99
323,Yuli,Taiwan,23.3326186,121.3158222,80.13,88,100,3.8
324,Tura,Russia,64.27624060000001,100.2061164,64.06,41,95,14.7
325,North Bend,United States,47.4956579,-121.7867775,51.26,96,100,1.01
326,Zamora,Spain,41.5034712,-5.7467879,77.97,91,45,18.7
327,Yar-Sale,Russia,66.86258699999999,70.854469,77.02,30,100,15.39
328,Tonj,Sudan,7.267511499999999,28.678979,79.21,65,100,6.53
329,Moroto,Uganda,2.5282234,34.6579985,77.04,50,79,2.55
